X,Y,,
0.00 ,,,
0.00 ,,,
0.00 ,,,
0.00 ,,,
0.00 ,,,
0.00 ,,,
0.00 ,,,
0.00 ,,,4.63 
0.00 ,,,0.15 
0.00 ,,,
0.00 ,,,
0.00 ,,,
0.03 ,,,
0.04 ,,,
0.01 ,,,
0.07 ,,,
0.19 ,,,
0.11 ,,,
0.14 ,,,
0.17 ,,,
0.21 ,,,
0.25 ,,,
0.31 ,,,
0.36 ,,,
0.40 ,,,
0.41 ,,,
0.35 ,,,
0.24 ,,,
0.08 ,,,
0.09 ,,,
0.23 ,,,
4.63 ,,,
0.00 ,,,
0.00 ,,,
0.00 ,,,
0.00 ,,,
0.00 ,,,
0.00 ,,,
0.00 ,,,
0.00 ,,,
0.00 ,,,
0.00 ,,,
0.00 ,,,
0.00 ,,,
0.00 ,,,
0.00 ,,,
0.00 ,,,
0.00 ,,,
0.00 ,,,
0.00 ,,,
0.00 ,,,
0.00 ,,,
0.00 ,,,
0.80 ,,,
0.14 ,,,
0.07 ,,,
0.42 ,,,
0.03 ,,,
0.13 ,,,
0.00 ,,,
0.05 ,,,
0.00 ,,,
0.02 ,,,
0.00 ,,,
0.00 ,,,
0.02 ,,,
0.00 ,,,
0.00 ,,,
